funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group
Key Research and Development Projects of Shaanxi Province,China,269,27,9,10.0,3.3,,F4320336350,False
Air Force Office of Scientific Research,USA,403,40,42,9.9,10.4,,F4320338279,False
Health Research Council of New Zealand,New Zealand,173,17,10,9.8,5.8,,F4320334749,False
Natural Science Foundation of Chongqing,China,461,45,7,9.8,1.5,,F4320323172,False
National Research Foundation of Korea,Korea,4854,475,197,9.8,4.1,government,F4320322120,True
Daiichi Sankyo Europe,Germany,174,17,6,9.8,3.4,,F4320338262,False
"Ministerul Cercetării, Inovării şi Digitalizării",RO,124,12,8,9.7,6.5,,F4320318622,False
"Ministry of Science, ICT and Future Planning",Korea,176,17,9,9.7,5.1,,F4320322030,False
University of Sydney,Australia,270,26,14,9.6,5.2,,F4320320966,False
Suomen Lääketieteen Säätiö,Finland,115,11,5,9.6,4.3,,F4320310751,False
National Office for Philosophy and Social Sciences,China,219,21,6,9.6,2.7,,F4320327557,False
Hellenic Foundation for Research and Innovation,Greece,156,15,12,9.6,7.7,,F4320327859,False
University of Cape Town,South Africa,114,11,14,9.6,12.3,,F4320324164,False
Shahid Beheshti University of Medical Sciences,Iran,106,10,9,9.4,8.5,,F4320323457,False
Korea Health Industry Development Institute,Korea,609,57,30,9.4,4.9,government,F4320322107,True
Universität Leipzig,Germany,233,22,16,9.4,6.9,,F4320325298,False
Natural Science Foundation of Hebei Province,China,485,45,9,9.3,1.9,,F4320322163,False
Korea Institute of Science and Technology,Korea,129,12,8,9.3,6.2,,F4320322091,False
Shanghai Municipal Health Commission,China,426,39,18,9.2,4.2,government,F4320317789,True
Pécsi Tudományegyetem,HU,119,11,0,9.2,0.0,,F4320325904,False
Szegedi Tudományegyetem,HU,119,11,5,9.2,4.2,,F4320329149,False
Universiti Kebangsaan Malaysia,Malaysia,120,11,6,9.2,5.0,,F4320322699,False
Nanjing Medical University,China,187,17,8,9.1,4.3,,F4320324291,False
Royal Academy of Engineering,UK,219,20,25,9.1,11.4,,F4320320005,False
Natural Science Foundation of Tianjin City,China,256,23,7,9.0,2.7,,F4320323993,False
City University of Hong Kong,Hong Kong,134,12,5,9.0,3.7,,F4320309893,False
Education Department of Jiangxi Province,China,100,9,2,9.0,2.0,,F4320325626,False
Eisai,Japan,178,16,17,9.0,9.6,,F4320322148,False
Fundação de Apoio à Pesquisa do Distrito Federal,Brazil,111,10,2,9.0,1.8,,F4320323350,False
Korea University,Korea,146,13,8,8.9,5.5,,F4320321373,False
Medical Science and Technology Project of Zhejiang Province,China,304,27,15,8.9,4.9,,F4320338199,False
Universitätsklinikum Essen,Germany,157,14,13,8.9,8.3,,F4320317492,False
Health Research Board,Ireland,123,11,4,8.9,3.3,,F4320312041,False
Division of Chemistry,USA,570,51,17,8.9,3.0,,F4320337393,False
Fujian Medical University,China,191,17,3,8.9,1.6,,F4320328113,False
Skånes universitetssjukhus,Sweden,102,9,4,8.8,3.9,,F4320326807,False
Health Resources and Services Administration,USA,137,12,3,8.8,2.2,,F4320332175,False
HORIZON EUROPE European Innovation Council,,231,20,25,8.7,10.8,,F4320338448,False
NIHR Imperial Biomedical Research Centre,UK,173,15,22,8.7,12.7,,F4320336039,False
"Ministry of Science and Technology, Taiwan",Taiwan,692,60,19,8.7,2.7,,F4320322795,False
Natural Science Foundation of Beijing Municipality,China,553,48,18,8.7,3.3,,F4320322919,False
"Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja",RS,161,14,6,8.7,3.7,,F4320322729,False
University of Tabriz,Iran,103,9,4,8.7,3.9,,F4320324703,False
Shanghai Hospital Development Center,China,103,9,8,8.7,7.8,,F4320325338,False
Narodowe Centrum Badań i Rozwoju,Poland,313,27,5,8.6,1.6,,F4320335039,False
"Ministry of Science and ICT, South Korea",Korea,1958,168,78,8.6,4.0,,F4320328359,False
Sanofi,USA,531,45,47,8.5,8.9,,F4320307781,False
Guizhou Science and Technology Department,China,130,11,3,8.5,2.3,,F4320322272,False
Al-Azhar University,EG,153,13,3,8.5,2.0,,F4320330007,False
National Cheng Kung University,Taiwan,107,9,7,8.4,6.5,,F4320324663,False
Universitätsmedizin der Johannes Gutenberg-Universität Mainz,Germany,155,13,3,8.4,1.9,,F4320336167,False
Universitätsklinikum Hamburg-Eppendorf,Germany,379,32,24,8.4,6.3,,F4320335947,False
Tehran University of Medical Sciences and Health Services,Iran,191,16,7,8.4,3.7,,F4320322670,False
Beijing Municipal Natural Science Foundation,China,515,43,24,8.3,4.7,government,F4320334977,True
"Ministério da Ciência, Tecnologia e Ensino Superior",Portugal,242,20,9,8.3,3.7,,F4320323642,False
"Ministerie van Volksgezondheid, Welzijn en Sport",Netherlands,109,9,12,8.3,11.0,,F4320321645,False
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,144,12,16,8.3,11.1,,F4320320873,False
Wu Jieping Medical Foundation,China,146,12,4,8.2,2.7,,F4320332531,False
Science and Technology Development Fund,EG,1412,115,17,8.1,1.2,,F4320321655,False
National Science and Technology Council,ZM,1670,134,72,8.0,4.3,,F4320331164,False
Chongqing Medical University,China,174,14,3,8.0,1.7,,F4320322595,False
Norges Teknisk-Naturvitenskapelige Universitet,Norway,187,15,19,8.0,10.2,,F4320311040,False
Khon Kaen University,Thailand,113,9,3,8.0,2.7,,F4320322335,False
Norwegian Institute of Public Health,Norway,177,14,22,7.9,12.4,,F4320337091,False
Instituto Politécnico Nacional,Mexico,114,9,2,7.9,1.8,,F4320321694,False
Sydäntutkimussäätiö,Finland,114,9,6,7.9,5.3,,F4320323333,False
Public Health Agency of Canada,Canada,151,12,11,7.9,7.3,,F4320312568,False
Fok Ying Tong Education Foundation,China,229,18,17,7.9,7.4,,F4320334945,False
Ministerstwo Edukacji i Nauki,Poland,256,20,7,7.8,2.7,,F4320322733,False
Liaoning Revitalization Talents Program,China,116,9,1,7.8,0.9,,F4320329895,False
Anhui Provincial Department of Education,China,116,9,5,7.8,4.3,,F4320326664,False
Ministry of Education,Korea,362,28,10,7.7,2.8,,F4320321408,False
Semmelweis Egyetem,HU,220,17,11,7.7,5.0,,F4320321102,False
National Institute for Health Research Applied Research Collaboration West,UK,130,10,6,7.7,4.6,,F4320337232,False
Amgen,USA,310,24,25,7.7,8.1,,F4320307105,False
Tanta University,EG,170,13,3,7.6,1.8,,F4320324798,False
Università degli Studi di Napoli Federico II,Italy,145,11,7,7.6,4.8,,F4320309590,False
Mansoura University,EG,373,28,7,7.5,1.9,,F4320325716,False
Charité – Universitätsmedizin Berlin,Germany,442,33,30,7.5,6.8,,F4320321526,False
Capital Medical University,China,108,8,6,7.4,5.6,,F4320321496,False
"Ministry of Health, Labour and Welfare",Japan,324,24,5,7.4,1.5,,F4320321945,False
Science Fund of the Republic of Serbia,RS,151,11,1,7.3,0.7,,F4320329307,False
Chiang Mai University,Thailand,246,18,2,7.3,0.8,,F4320321529,False
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",RO,181,13,6,7.2,3.3,,F4320323983,False
Ministry of Education of the People's Republic of China,China,222,16,5,7.2,2.3,,F4320321106,False
Natural Science Foundation of Liaoning Province,China,276,20,7,7.2,2.5,,F4320323086,False
Scientific and Technological Research Council of Turkey (TUBITAK),Turkey,794,56,26,7.1,3.3,,F4320322626,False
Novartis Pharmaceuticals Corporation,USA,140,10,14,7.1,10.0,,F4320310388,False
Università Cattolica del Sacro Cuore,Italy,127,9,6,7.1,4.7,,F4320323405,False
Universitätsklinikum Tübingen,Germany,182,13,16,7.1,8.8,,F4320333403,False
Ministry of Health and Welfare,Korea,201,14,9,7.0,4.5,,F4320322034,False
"Khalifa University of Science, Technology and Research",AE,115,8,14,7.0,12.2,,F4320322334,False
King Saud University,Saudi Arabia,1100,76,12,6.9,1.1,,F4320321145,False
Cairo University,EG,595,41,11,6.9,1.8,,F4320321148,False
Novartis Pharma,Germany,101,7,9,6.9,8.9,,F4320332736,False
Osaka University,Japan,117,8,4,6.8,3.4,,F4320322451,False
Gobierno de Aragón,Spain,148,10,4,6.8,2.7,,F4320326208,False
Minia University,EG,150,10,4,6.7,2.7,,F4320327648,False
University of Manchester,UK,105,7,9,6.7,8.6,,F4320320291,False
Tel Aviv University,Israel,244,16,20,6.6,8.2,,F4320322596,False
Financiadora de Estudos e Projetos,Brazil,154,10,5,6.5,3.2,,F4320322904,False
China Medical University,China,171,11,10,6.4,5.8,,F4320324301,False
National Social Science Fund of China,China,578,37,16,6.4,2.8,,F4320335869,False
United Arab Emirates University,AE,140,9,7,6.4,5.0,,F4320323593,False
"Ministry of Science and Technology, Government of the People’s Republic of Bangladesh",BD,140,9,8,6.4,5.7,,F4320325390,False
King Abdulaziz University,Saudi Arabia,140,9,7,6.4,5.0,,F4320322322,False
Korea Medical Device Development Fund,Korea,126,8,4,6.3,3.2,,F4320318847,False
UNICEF,USA,146,9,2,6.2,1.4,,F4320309209,False
Postdoctoral Research Foundation of China,China,115,7,2,6.1,1.7,,F4320335443,False
"Ministerie van Onderwijs, Cultuur en Wetenschap",Netherlands,115,7,5,6.1,4.3,,F4320321799,False
Ruhr-Universität Bochum,Germany,131,8,14,6.1,10.7,,F4320323715,False
Fundo para o Desenvolvimento das Ciências e da Tecnologia,MO,199,12,7,6.0,3.5,,F4320323893,False
Alexandria University,EG,450,27,3,6.0,0.7,,F4320326056,False
Syddansk Universitet,Denmark,221,13,9,5.9,4.1,,F4320323799,False
Agency for Healthcare Research and Quality,USA,222,13,10,5.9,4.5,,F4320332177,False
Ministry of Food and Drug Safety,Korea,205,12,9,5.9,4.4,,F4320322014,False
Universitätsklinikum Heidelberg,Germany,204,12,14,5.9,6.9,,F4320330130,False
London School of Hygiene and Tropical Medicine,UK,137,8,9,5.8,6.6,,F4320311430,False
Natural Science Foundation of Shaanxi Province,China,226,13,5,5.8,2.2,,F4320324173,False
Seoul National University Hospital,Korea,122,7,6,5.7,4.9,,F4320322557,False
Universitas Padjadjaran,ID,140,8,3,5.7,2.1,,F4320329092,False
Svenska Läkaresällskapet,Sweden,126,7,15,5.6,11.9,,F4320324618,False
Natural Science Foundation of Xinjiang Province,China,162,9,7,5.6,4.3,,F4320311028,False
Iran University of Medical Sciences,Iran,108,6,6,5.6,5.6,,F4320313199,False
Addis Ababa University,ET,143,8,3,5.6,2.1,,F4320324791,False
Humanities and Social Science Fund of Ministry of Education of China,China,128,7,3,5.5,2.3,,F4320335982,False
Taipei Medical University,Taiwan,109,6,5,5.5,4.6,,F4320322814,False
Universitätsklinikum Köln,Germany,166,9,3,5.4,1.8,,F4320327730,False
Innosuisse - Schweizerische Agentur für Innovationsförderung,Switzerland,113,6,9,5.3,8.0,,F4320327931,False
National Taiwan University Hospital,Taiwan,131,7,5,5.3,3.8,,F4320323422,False
"Ministry of Trade, Industry and Energy",Korea,535,28,20,5.2,3.7,,F4320321681,False
Manipal University,India,273,14,4,5.1,1.5,,F4320322932,False
Shiraz University of Medical Sciences,Iran,157,8,5,5.1,3.2,,F4320322545,False
Tabriz University of Medical Sciences,Iran,120,6,5,5.0,4.2,,F4320322587,False
Shiraz University,Iran,144,7,6,4.9,4.2,,F4320323101,False
Deakin University,Australia,122,6,8,4.9,6.6,,F4320320970,False
Mashhad University of Medical Sciences,Iran,124,6,4,4.8,3.2,,F4320322855,False
National and Kapodistrian University of Athens,Greece,104,5,3,4.8,2.9,,F4320323149,False
Prince Sattam bin Abdulaziz University,Saudi Arabia,192,9,3,4.7,1.6,,F4320311227,False
King Faisal University,Saudi Arabia,112,5,2,4.5,1.8,,F4320331156,False
Chang Gung Medical Foundation,Taiwan,230,10,4,4.3,1.7,,F4320322767,False
Universitätsklinikum Erlangen,Germany,164,7,8,4.3,4.9,,F4320330129,False
Hong Kong Polytechnic University,Hong Kong,163,7,5,4.3,3.1,,F4320322598,False
Princess Nourah Bint Abdulrahman University,Saudi Arabia,340,14,2,4.1,0.6,,F4320322484,False
Taif University,Saudi Arabia,149,6,3,4.0,2.0,,F4320323722,False
Bulgarian National Science Fund,BG,128,5,2,3.9,1.6,,F4320321843,False
Alzheimer's Drug Discovery Foundation,USA,105,4,9,3.8,8.6,,F4320307132,False
Wenzhou Municipal Science and Technology Bureau,China,105,4,5,3.8,4.8,,F4320324224,False
"Deanship of Scientific Research, King Faisal University",Saudi Arabia,163,6,3,3.7,1.8,,F4320322804,False
"Swedish Research Council for Health, Working Life and Welfare (Forte)",Sweden,382,14,19,3.7,5.0,,F4320324004,False
Institute for Information and Communications Technology Promotion,Korea,189,7,14,3.7,7.4,,F4320335489,False
King Khalid University,Saudi Arabia,251,9,4,3.6,1.6,,F4320324433,False
Boston Scientific Corporation,USA,111,4,4,3.6,3.6,,F4320310567,False
Hiroshima University,Japan,117,4,2,3.4,1.7,,F4320322166,False
Health Technology Assessment Programme,UK,148,5,3,3.4,2.0,,F4320334661,False
Qatar National Library,QA,222,7,2,3.2,0.9,,F4320334468,False
Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu,Poland,156,5,0,3.2,0.0,,F4320325938,False
Department of Education of Liaoning Province,China,131,4,2,3.1,1.5,,F4320324560,False
Korea Institute for Advancement of Technology,Korea,160,5,9,3.1,5.6,,F4320322064,False
Hacettepe Üniversitesi,Turkey,100,3,2,3.0,2.0,,F4320323272,False
Ministerul Educaţiei Naţionale,RO,115,3,3,2.6,2.6,,F4320322145,False
H2020 Future and Emerging Technologies,,124,3,7,2.4,5.6,,F4320338336,False
Taipei Veterans General Hospital,Taiwan,107,2,1,1.9,0.9,,F4320327358,False
Hamad Medical Corporation,QA,103,2,2,1.9,1.9,,F4320310110,False
University of Health Sciences Lahore,Pakistan,111,1,0,0.9,0.0,,F4320319221,False
